VRAE:Work Refid,File Name [en],File Name [es],VRAE:Admin Cataloguer,VRAE:Work Agent,VRAE:Work Title,VRAE:Work Type [es],VRAE:Work Type [en],VRAE:Work Material [es],VRAE:Work Material [en],VRAE:Work Description [es],VRAE:Work Description [en],VRAE:Work Measurements,VRAE:Work Date,VRAE:Work Location,VRAE:GPSLatitude,VRAE:GPSLongitude,VRAE:Image Refid,VRAE:Image Relation,VRAE:Work Location Creation,VRAE:Work Cultural Context,VRAE:Work Style Period,VRAE:Collection Refid,VRAE:Image Rights,VRAE:Image Source,VRAE:Image Href [en],VRAE:Image Href [es],DC:Title,DC:Creator,DC:Subject [es],DC:Subject [en],DC:Description [es],DC:Description [en],DC:Publisher,DC:Contributor,DC:Coverage,DC:Date,DC:Type [es],DC:Type [en],DC:Format [es],DC:Format [en],DC:Copyright Notice,DC:Source,DC:Language [en],DC:Language [es],DC:Relation,DC:Identifier
w_1654,AR-MA-Bruzzone-Agentes-CIA-018-Taller-Que-hacer-con-los-billetes-de-2-pesos-1654-00-EN.jpg,AR-MA-Bruzzone-Agentes-CIA-018-Taller-Que-hacer-con-los-billetes-de-2-pesos-1654-00-ES.jpg,Martin Gersbach,Agentes CIA 018,Taller Qué hacer con los billetes de 2 pesos,obra de arte [aat:300133025],works of art [aat:300133025],papel moneda [aat:300191324]; lápiz de color [aat:300022441],paper money [aat:300191324]; colored pencils [aat:300022441],"Dibujos, frases y roturas en cinco billetes de dos pesos que dejaron de circular","Drawings, phrases and tears on five two-peso banknotes that have ceased circulation",6.5 cm x 15 cm,2018 (creation),"Colección Bruzzone (Buenos Aires, Argentina) Inv. w_1654",-34.60,-58.38,i_1654-00,"imageOf w_1654, Bruzzone Database",Argentina,Argentinean,Contemporary,c_1,CC BY-SA 4.0 Roberto Macchiavelli,https://museosabiertos.org/assets/,https://museosabiertos.org/assets/AR-MA-Bruzzone-Agentes-CIA-018-Taller-Que-hacer-con-los-billetes-de-2-pesos-1654-00-EN.jpg,https://museosabiertos.org/assets/AR-MA-Bruzzone-Agentes-CIA-018-Taller-Que-hacer-con-los-billetes-de-2-pesos-1654-00-ES.jpg,Taller Qué hacer con los billetes de 2 pesos,Martin Gersbach; Museos Abiertos,obra de arte [aat:300133025]; papel moneda [aat:300191324]; lápiz de color [aat:300022441]; Argentinean; Contemporary,works of art [aat:300133025]; paper money [aat:300191324]; colored pencils [aat:300022441]; Argentinean; Contemporary,"Dibujos, frases y roturas en cinco billetes de dos pesos que dejaron de circular","Drawings, phrases and tears on five two-peso banknotes that have ceased circulation",Museos Abiertos,Martin Gersbach,Ciudad Autónoma de Buenos Aires (autonomous city) [tgn:7593303],2022-8-29,obra de arte [aat:300133025],works of art [aat:300133025],papel moneda [aat:300191324]; lápiz de color [aat:300022441],paper money [aat:300191324]; colored pencils [aat:300022441],Attribution 4.0 International (CC BY 4.0),https://museosabiertos.org/assets/,English,Spanish,"imageOf w_1654, Bruzzone Database",w_1654
w_2014,AR-MA-Bruzzone-Agesta-Antonella-Je-suis-la-2014-00-EN.jpg,AR-MA-Bruzzone-Agesta-Antonella-Je-suis-la-2014-00-ES.jpg,Martin Gersbach,"Agesta, Antonella",Je suis lá,pintura al óleo (obra visual) [aat:300033799],oil paintings (visual works) [aat:300033799],pintura al óleo (material) [aat:300015050]; lienzo (material) [aat:300014078],oil paint (paint) [aat:300015050]; canvas (textile material) [aat:300014078],Una mujer parada de costado con casa de fondo,A woman standing sideways with a house in the background,90 cm x 60 cm,2020 (creation),"Colección Bruzzone (Buenos Aires, Argentina) Inv. w_2014",-34.60,-58.38,i_2014-00,"imageOf w_2014, Bruzzone Database",Argentina,Argentinean,Contemporary,c_1,CC BY-SA 4.0 Roberto Macchiavelli,https://museosabiertos.org/assets/,https://museosabiertos.org/assets/AR-MA-Bruzzone-Agesta-Antonella-Je-suis-la-2014-00-EN.jpg,https://museosabiertos.org/assets/AR-MA-Bruzzone-Agesta-Antonella-Je-suis-la-2014-00-ES.jpg,Je suis lá,Martin Gersbach; Museos Abiertos,pintura al óleo (obra visual) [aat:300033799]; pintura al óleo (material) [aat:300015050]; lienzo (material) [aat:300014078]; Argentinean; Contemporary,oil paintings (visual works) [aat:300033799]; oil paint (paint) [aat:300015050]; canvas (textile material) [aat:300014078]; Argentinean; Contemporary,Una mujer parada de costado con casa de fondo,A woman standing sideways with a house in the background,Museos Abiertos,Martin Gersbach,Ciudad Autónoma de Buenos Aires (autonomous city) [tgn:7593303],2022-8-29,pintura al óleo (obra visual) [aat:300033799],oil paintings (visual works) [aat:300033799],pintura al óleo (material) [aat:300015050]; lienzo (material) [aat:300014078],oil paint (paint) [aat:300015050]; canvas (textile material) [aat:300014078],Attribution 4.0 International (CC BY 4.0),https://museosabiertos.org/assets/,English,Spanish,"imageOf w_2014, Bruzzone Database",w_2014
w_1956,AR-MA-Bruzzone-Agesta-Antonella-ST-Dos-pinturas-1956-00-EN.jpg,AR-MA-Bruzzone-Agesta-Antonella-ST-Dos-pinturas-1956-00-ES.jpg,Martin Gersbach,"Agesta, Antonella",Sin título. Dos pinturas,acuarela (obra visual) [aat:300078925],aquarelles (paintings) [aat:300404216],acuarela [aat:300015045]; papel (producto de fibra) [aat:300014109],watercolor [aat:300015045]; paper (fiber product) [aat:300014109],Dos pinturas sobre un fondo rojo con hojas,Two paintings on a red background with leaves,23 cm x 15 cm,2020 (creation),"Colección Bruzzone (Buenos Aires, Argentina) Inv. w_1956",-34.60,-58.38,i_1956-00,"imageOf w_1956, Bruzzone Database",Argentina,Argentinean,Contemporary,c_1,CC BY-SA 4.0 Roberto Macchiavelli,https://museosabiertos.org/assets/,https://museosabiertos.org/assets/AR-MA-Bruzzone-Agesta-Antonella-ST-Dos-pinturas-1956-00-EN.jpg,https://museosabiertos.org/assets/AR-MA-Bruzzone-Agesta-Antonella-ST-Dos-pinturas-1956-00-ES.jpg,Sin título. Dos pinturas,Martin Gersbach; Museos Abiertos,acuarela (obra visual) [aat:300078925]; acuarela [aat:300015045]; papel (producto de fibra) [aat:300014109]; Argentinean; Contemporary,aquarelles (paintings) [aat:300404216]; watercolor [aat:300015045]; paper (fiber product) [aat:300014109]; Argentinean; Contemporary,Dos pinturas sobre un fondo rojo con hojas,Two paintings on a red background with leaves,Museos Abiertos,Martin Gersbach,Ciudad Autónoma de Buenos Aires (autonomous city) [tgn:7593303],2022-8-29,acuarela (obra visual) [aat:300078925],aquarelles (paintings) [aat:300404216],acuarela [aat:300015045]; papel (producto de fibra) [aat:300014109],watercolor [aat:300015045]; paper (fiber product) [aat:300014109],Attribution 4.0 International (CC BY 4.0),https://museosabiertos.org/assets/,English,Spanish,"imageOf w_1956, Bruzzone Database",w_1956
w_1955,AR-MA-Bruzzone-Agesta-Antonella-ST-Flor-1955-00-EN.jpg,AR-MA-Bruzzone-Agesta-Antonella-ST-Flor-1955-00-ES.jpg,Martin Gersbach,"Agesta, Antonella",Sin título. Flor,acuarela (obra visual) [aat:300078925],aquarelles (paintings) [aat:300404216],acuarela [aat:300015045]; papel (producto de fibra) [aat:300014109],watercolor [aat:300015045]; paper (fiber product) [aat:300014109],Una flor con arabescos,A flower with arabesques,23 cm x 15 cm,2020 (creation),"Colección Bruzzone (Buenos Aires, Argentina) Inv. w_1955",-34.60,-58.38,i_1955-00,"imageOf w_1955, Bruzzone Database",Argentina,Argentinean,Contemporary,c_1,CC BY-SA 4.0 Roberto Macchiavelli,https://museosabiertos.org/assets/,https://museosabiertos.org/assets/AR-MA-Bruzzone-Agesta-Antonella-ST-Flor-1955-00-EN.jpg,https://museosabiertos.org/assets/AR-MA-Bruzzone-Agesta-Antonella-ST-Flor-1955-00-ES.jpg,Sin título. Flor,Martin Gersbach; Museos Abiertos,acuarela (obra visual) [aat:300078925]; acuarela [aat:300015045]; papel (producto de fibra) [aat:300014109]; Argentinean; Contemporary,aquarelles (paintings) [aat:300404216]; watercolor [aat:300015045]; paper (fiber product) [aat:300014109]; Argentinean; Contemporary,Una flor con arabescos,A flower with arabesques,Museos Abiertos,Martin Gersbach,Ciudad Autónoma de Buenos Aires (autonomous city) [tgn:7593303],2022-8-29,acuarela (obra visual) [aat:300078925],aquarelles (paintings) [aat:300404216],acuarela [aat:300015045]; papel (producto de fibra) [aat:300014109],watercolor [aat:300015045]; paper (fiber product) [aat:300014109],Attribution 4.0 International (CC BY 4.0),https://museosabiertos.org/assets/,English,Spanish,"imageOf w_1955, Bruzzone Database",w_1955
w_1957,AR-MA-Bruzzone-Agesta-Antonella-ST-Jarron-1957-00-EN.jpg,AR-MA-Bruzzone-Agesta-Antonella-ST-Jarron-1957-00-ES.jpg,Martin Gersbach,"Agesta, Antonella",Sin título. Jarrón,acuarela (obra visual) [aat:300078925],aquarelles (paintings) [aat:300404216],acuarela [aat:300015045]; papel (producto de fibra) [aat:300014109],watercolor [aat:300015045]; paper (fiber product) [aat:300014109],Un jarrón sobre una mesa con fondo cuadriculado,A vase on a table with a squared background,23 cm x 15 cm,2020 (creation),"Colección Bruzzone (Buenos Aires, Argentina) Inv. w_1957",-34.60,-58.38,i_1957-00,"imageOf w_1957, Bruzzone Database",Argentina,Argentinean,Contemporary,c_1,CC BY-SA 4.0 Roberto Macchiavelli,https://museosabiertos.org/assets/,https://museosabiertos.org/assets/AR-MA-Bruzzone-Agesta-Antonella-ST-Jarron-1957-00-EN.jpg,https://museosabiertos.org/assets/AR-MA-Bruzzone-Agesta-Antonella-ST-Jarron-1957-00-ES.jpg,Sin título. Jarrón,Martin Gersbach; Museos Abiertos,acuarela (obra visual) [aat:300078925]; acuarela [aat:300015045]; papel (producto de fibra) [aat:300014109]; Argentinean; Contemporary,aquarelles (paintings) [aat:300404216]; watercolor [aat:300015045]; paper (fiber product) [aat:300014109]; Argentinean; Contemporary,Un jarrón sobre una mesa con fondo cuadriculado,A vase on a table with a squared background,Museos Abiertos,Martin Gersbach,Ciudad Autónoma de Buenos Aires (autonomous city) [tgn:7593303],2022-8-29,acuarela (obra visual) [aat:300078925],aquarelles (paintings) [aat:300404216],acuarela [aat:300015045]; papel (producto de fibra) [aat:300014109],watercolor [aat:300015045]; paper (fiber product) [aat:300014109],Attribution 4.0 International (CC BY 4.0),https://museosabiertos.org/assets/,English,Spanish,"imageOf w_1957, Bruzzone Database",w_1957
w_1989,AR-MA-Bruzzone-Aguirre-Talamona-Maria-Virginia-Bayavaga-1320-Vat-1989-00-EN.jpg,AR-MA-Bruzzone-Aguirre-Talamona-Maria-Virginia-Bayavaga-1320-Vat-1989-00-ES.jpg,Martin Gersbach,"Aguirre Talamona, María Virginia",1320 Vat,acuarela (obra visual) [aat:300078925],aquarelles (paintings) [aat:300404216],acuarela [aat:300015045]; papel (producto de fibra) [aat:300014109]; lápiz de grafito [aat:300022443]; técnica mixta (material artístico) [aat:300163347]),watercolor [aat:300015045]; paper (fiber product) [aat:300014109]; graphite pencils [aat:300022443]; mixed media [aat:300163347]),Abstracto,Abstract,19 cm x 15 cm,2007 (creation),"Colección Bruzzone (Buenos Aires, Argentina) Inv. w_1989",-34.60,-58.38,i_1989-00,"imageOf w_1989, Bruzzone Database",Argentina,Argentinean,Contemporary,c_1,CC BY-SA 4.0 Roberto Macchiavelli,https://museosabiertos.org/assets/,https://museosabiertos.org/assets/AR-MA-Bruzzone-Aguirre-Talamona-Maria-Virginia-Bayavaga-1320-Vat-1989-00-EN.jpg,https://museosabiertos.org/assets/AR-MA-Bruzzone-Aguirre-Talamona-Maria-Virginia-Bayavaga-1320-Vat-1989-00-ES.jpg,1320 Vat,Martin Gersbach; Museos Abiertos,acuarela (obra visual) [aat:300078925]; acuarela [aat:300015045]; papel (producto de fibra) [aat:300014109]; lápiz de grafito [aat:300022443]; técnica mixta (material artístico) [aat:300163347]); Argentinean; Contemporary,aquarelles (paintings) [aat:300404216]; watercolor [aat:300015045]; paper (fiber product) [aat:300014109]; graphite pencils [aat:300022443]; mixed media [aat:300163347]); Argentinean; Contemporary,Abstracto,Abstract,Museos Abiertos,Martin Gersbach,Ciudad Autónoma de Buenos Aires (autonomous city) [tgn:7593303],2022-8-29,acuarela (obra visual) [aat:300078925],aquarelles (paintings) [aat:300404216],acuarela [aat:300015045]; papel (producto de fibra) [aat:300014109]; lápiz de grafito [aat:300022443]; técnica mixta (material artístico) [aat:300163347]),watercolor [aat:300015045]; paper (fiber product) [aat:300014109]; graphite pencils [aat:300022443]; mixed media [aat:300163347]),Attribution 4.0 International (CC BY 4.0),https://museosabiertos.org/assets/,English,Spanish,"imageOf w_1989, Bruzzone Database",w_1989
w_573,AR-MA-Bruzzone-Aira-Huevos-de-colores-0573-00-EN.jpg,AR-MA-Bruzzone-Aira-Huevos-de-colores-0573-00-ES.jpg,Martin Gersbach,"Aira, César",Sin título - Globos de colores,pintura al óleo (obra visual) [aat:300033799],oil paintings (visual works) [aat:300033799],pintura al óleo (material) [aat:300015050]; acrílico (pintura) [aat:300015058]; panel sandwich [aat:300257719],oil paint (paint) [aat:300015050]; acrylic paint [aat:300015058]; sandwich panels [aat:300257719],Abstracto. Globos de colores en un cuadriculado,Abstract. Colored balloons on a grid,40 cm x 30 cm,1995 (creation),"Colección Bruzzone (Buenos Aires, Argentina) Inv. w_573",-34.60,-58.38,i_0573-00,"imageOf w_573, Bruzzone Database",Argentina,Argentinean,Contemporary,c_1,CC BY-SA 4.0 Roberto Macchiavelli,https://museosabiertos.org/assets/,https://museosabiertos.org/assets/AR-MA-Bruzzone-Aira-Huevos-de-colores-0573-00-EN.jpg,https://museosabiertos.org/assets/AR-MA-Bruzzone-Aira-Huevos-de-colores-0573-00-ES.jpg,Sin título - Globos de colores,Martin Gersbach; Museos Abiertos,pintura al óleo (obra visual) [aat:300033799]; pintura al óleo (material) [aat:300015050]; acrílico (pintura) [aat:300015058]; panel sandwich [aat:300257719]; Argentinean; Contemporary,oil paintings (visual works) [aat:300033799]; oil paint (paint) [aat:300015050]; acrylic paint [aat:300015058]; sandwich panels [aat:300257719]; Argentinean; Contemporary,Abstracto. Globos de colores en un cuadriculado,Abstract. Colored balloons on a grid,Museos Abiertos,Martin Gersbach,Ciudad Autónoma de Buenos Aires (autonomous city) [tgn:7593303],2022-8-29,pintura al óleo (obra visual) [aat:300033799],oil paintings (visual works) [aat:300033799],pintura al óleo (material) [aat:300015050]; acrílico (pintura) [aat:300015058]; panel sandwich [aat:300257719],oil paint (paint) [aat:300015050]; acrylic paint [aat:300015058]; sandwich panels [aat:300257719],Attribution 4.0 International (CC BY 4.0),https://museosabiertos.org/assets/,English,Spanish,"imageOf w_573, Bruzzone Database",w_573
w_720,AR-MA-Bruzzone-Aisenberg-Busco-0720-00-EN.jpg,AR-MA-Bruzzone-Aisenberg-Busco-0720-00-ES.jpg,Martin Gersbach,"Aisenberg, Diana",Busco,collage (obra visual) [aat:300033963],collages (visual works) [aat:300033963],collage (técnica) [aat:300138699]; cartulina [aat:300014228],collage (technique) [aat:300138699]; bristol board [aat:300014228],Mediante la palabra “Busco” se interactúa con diversas palabras invitando a la gente a participar de la obra,"Through the word ""Busco"" we interact with different words inviting people to participate in the play.",86 cm x 60 cm,2002- ca 2010 (creation),"Colección Bruzzone (Buenos Aires, Argentina) Inv. w_720",-34.60,-58.38,i_0720-00,"imageOf w_720, Bruzzone Database",Argentina,Argentinean,Contemporary,c_1,CC BY-SA 4.0 Roberto Macchiavelli,https://museosabiertos.org/assets/,https://museosabiertos.org/assets/AR-MA-Bruzzone-Aisenberg-Busco-0720-00-EN.jpg,https://museosabiertos.org/assets/AR-MA-Bruzzone-Aisenberg-Busco-0720-00-ES.jpg,Busco,Martin Gersbach; Museos Abiertos,collage (obra visual) [aat:300033963]; collage (técnica) [aat:300138699]; cartulina [aat:300014228]; Argentinean; Contemporary,collages (visual works) [aat:300033963]; collage (technique) [aat:300138699]; bristol board [aat:300014228]; Argentinean; Contemporary,Mediante la palabra “Busco” se interactúa con diversas palabras invitando a la gente a participar de la obra,"Through the word ""Busco"" we interact with different words inviting people to participate in the play.",Museos Abiertos,Martin Gersbach,Ciudad Autónoma de Buenos Aires (autonomous city) [tgn:7593303],2022-8-29,collage (obra visual) [aat:300033963],collages (visual works) [aat:300033963],collage (técnica) [aat:300138699]; cartulina [aat:300014228],collage (technique) [aat:300138699]; bristol board [aat:300014228],Attribution 4.0 International (CC BY 4.0),https://museosabiertos.org/assets/,English,Spanish,"imageOf w_720, Bruzzone Database",w_720
w_722,AR-MA-Bruzzone-Aisenberg-Busco-Busco-0722-00-EN.jpg,AR-MA-Bruzzone-Aisenberg-Busco-Busco-0722-00-ES.jpg,Martin Gersbach,"Aisenberg, Diana",Busco Busco,collage (obra visual) [aat:300033963],collages (visual works) [aat:300033963],collage (técnica) [aat:300138699]; cartulina [aat:300014228],collage (technique) [aat:300138699]; bristol board [aat:300014228],Mediante la palabra “Busco” se invita a la gente a participar de la obra,"Through the word ""Busco"" people are invited to participate in the play.",33 cm x 30 cm,2002- ca 2010 (creation),"Colección Bruzzone (Buenos Aires, Argentina) Inv. w_722",-34.60,-58.38,i_0722-00,"imageOf w_722, Bruzzone Database",Argentina,Argentinean,Contemporary,c_1,CC BY-SA 4.0 Roberto Macchiavelli,https://museosabiertos.org/assets/,https://museosabiertos.org/assets/AR-MA-Bruzzone-Aisenberg-Busco-Busco-0722-00-EN.jpg,https://museosabiertos.org/assets/AR-MA-Bruzzone-Aisenberg-Busco-Busco-0722-00-ES.jpg,Busco Busco,Martin Gersbach; Museos Abiertos,collage (obra visual) [aat:300033963]; collage (técnica) [aat:300138699]; cartulina [aat:300014228]; Argentinean; Contemporary,collages (visual works) [aat:300033963]; collage (technique) [aat:300138699]; bristol board [aat:300014228]; Argentinean; Contemporary,Mediante la palabra “Busco” se invita a la gente a participar de la obra,"Through the word ""Busco"" people are invited to participate in the play.",Museos Abiertos,Martin Gersbach,Ciudad Autónoma de Buenos Aires (autonomous city) [tgn:7593303],2022-8-29,collage (obra visual) [aat:300033963],collages (visual works) [aat:300033963],collage (técnica) [aat:300138699]; cartulina [aat:300014228],collage (technique) [aat:300138699]; bristol board [aat:300014228],Attribution 4.0 International (CC BY 4.0),https://museosabiertos.org/assets/,English,Spanish,"imageOf w_722, Bruzzone Database",w_722
w_721,AR-MA-Bruzzone-Aisenberg-Busco-Camino-0721-00-EN.jpg,AR-MA-Bruzzone-Aisenberg-Busco-Camino-0721-00-ES.jpg,Martin Gersbach,"Aisenberg, Diana",Busco Camino,impresión de chorro de tinta [aat:300235748],inkjet printing [aat:300235748],tinta [aat:300015012]; papel (producto de fibra) [aat:300014109],ink [aat:300015012]; paper (fiber product) [aat:300014109],Mediante la palabra “Busco Camino” se interactúa con diversas palabras invitando a la gente a participar de la obra,"Through the word ""Busco Camino"" we interact with different words inviting people to participate in the play.",55 cm x 73.5 cm,2007 (creation),"Colección Bruzzone (Buenos Aires, Argentina) Inv. w_721",-34.60,-58.38,i_0721-00,"imageOf w_721, Bruzzone Database",Argentina,Argentinean,Contemporary,c_1,CC BY-SA 4.0 Roberto Macchiavelli,https://museosabiertos.org/assets/,https://museosabiertos.org/assets/AR-MA-Bruzzone-Aisenberg-Busco-Camino-0721-00-EN.jpg,https://museosabiertos.org/assets/AR-MA-Bruzzone-Aisenberg-Busco-Camino-0721-00-ES.jpg,Busco Camino,Martin Gersbach; Museos Abiertos,impresión de chorro de tinta [aat:300235748]; tinta [aat:300015012]; papel (producto de fibra) [aat:300014109]; Argentinean; Contemporary,inkjet printing [aat:300235748]; ink [aat:300015012]; paper (fiber product) [aat:300014109]; Argentinean; Contemporary,Mediante la palabra “Busco Camino” se interactúa con diversas palabras invitando a la gente a participar de la obra,"Through the word ""Busco Camino"" we interact with different words inviting people to participate in the play.",Museos Abiertos,Martin Gersbach,Ciudad Autónoma de Buenos Aires (autonomous city) [tgn:7593303],2022-8-29,impresión de chorro de tinta [aat:300235748],inkjet printing [aat:300235748],tinta [aat:300015012]; papel (producto de fibra) [aat:300014109],ink [aat:300015012]; paper (fiber product) [aat:300014109],Attribution 4.0 International (CC BY 4.0),https://museosabiertos.org/assets/,English,Spanish,"imageOf w_721, Bruzzone Database",w_721
